% Vallado SGP4 Result (TEME Frame)
% Time(min)      Rx(km)        Ry(km)        Rz(km)        Vx(km/s)      Vy(km/s)      Vz(km/s)
     62.0000    1469.011179    4182.936218   -5386.882023   -0.380094528   -5.911017215   -4.684003756
     63.0000    1443.127426    3819.713380   -5656.348036   -0.482392184   -6.192134252   -4.295019026
     64.0000    1411.165263    3440.401924   -5901.924849   -0.582636949   -6.447114361   -3.887976978
     65.0000    1373.260459    3046.602303   -6122.580055   -0.680410527   -6.674901656   -3.464590951
     66.0000    1329.573563    2639.974940   -6317.386023   -0.775305473   -6.874553780   -3.026638846
     67.0000    1280.289208    2222.233319   -6485.523553   -0.866926724   -7.045245012   -2.575955859
     68.0000    1225.615325    1795.136904   -6626.285097   -0.954893064   -7.186268929   -2.114427138
     69.0000    1165.782265    1360.483912   -6739.077531   -1.038838530   -7.297040661   -1.643980400
     70.0000    1101.041851     920.103960   -6823.424492   -1.118413744   -7.377098738   -1.166578501
     71.0000    1031.666337     475.850617   -6878.968264   -1.193287188   -7.426106562   -0.684211989
     72.0000     957.947302      29.593868   -6905.471207   -1.263146421   -7.443853526   -0.198891625
     73.0000     880.194473    -416.787462   -6902.816754   -1.327699236   -7.430255762    0.287359116
     74.0000     798.734472    -861.413333   -6871.009944   -1.386674760   -7.385356564    0.772511571
     75.0000     713.909508   -1302.410124   -6810.177503   -1.439824500   -7.309326449    1.254539455
     76.0000     626.076006   -1737.918257   -6720.567478   -1.486923334   -7.202462883    1.731426457
     77.0000     535.603168   -2166.099801   -6602.548403   -1.527770444   -7.065189635    2.201173876
     78.0000     442.871498   -2585.146018   -6456.608017   -1.562190193   -6.898055764    2.661808308
     79.0000     348.271259   -2993.284843   -6283.351508   -1.590032933   -6.701734207    3.111389367
     80.0000     252.200896   -3388.788260   -6083.499304   -1.611175752   -6.477019954    3.548017435
     81.0000     155.065407   -3769.979562   -5857.884389   -1.625523142   -6.224827775    3.969841437
     82.0000      57.274685   -4135.240457   -5607.449158   -1.633007587   -5.946189473    4.375066609
     83.0000     -40.758181   -4483.017989   -5333.241807   -1.633590061   -5.642250650    4.761962238
     84.0000    -138.618624   -4811.831265   -5036.412258   -1.627260428   -5.314266938    5.128869341
     85.0000    -235.892343   -5120.277918   -4718.207628   -1.614037731   -4.963599693    5.474208235
     86.0000    -332.167060   -5407.040317   -4379.967248   -1.593970363   -4.591711122    5.796485950
     87.0000    -427.034283   -5670.891449   -4023.117244   -1.567136112   -4.200158842    6.094303443
     88.0000    -520.091066   -5910.700470   -3649.164689   -1.533642067   -3.790589856    6.366362539
     89.0000    -610.941759   -6125.437874   -3259.691359   -1.493624387   -3.364733959    6.611472535
     90.0000    -699.199748   -6314.180242   -2856.347087   -1.447247906   -2.924396587    6.828556421
     91.0000    -784.489152   -6476.114563   -2440.842776   -1.394705594   -2.471451126    7.016656629
     92.0000    -866.446496   -6610.542058   -2014.943068   -1.336217854   -2.007830720    7.174940260
     93.0000    -944.722330   -6716.881517   -1580.458725   -1.272031660   -1.535519624    7.302703718
     94.0000   -1018.982793   -6794.672090   -1139.238744   -1.202419533   -1.056544139    7.399376706
     95.0000   -1088.911115   -6843.575536    -693.162263   -1.127678366   -0.572963212    7.464525514
     96.0000   -1154.209034   -6863.377888    -244.130279   -1.048128100   -0.086858749    7.497855573
     97.0000   -1214.598143   -6853.990538     205.942755   -0.964110249    0.399674272    7.499213230
     98.0000   -1269.821131   -6815.450720     655.137418   -0.875986307    0.884537815    7.468586724
     99.0000   -1319.642935   -6747.921395    1101.537848   -0.784136025    1.365640846    7.406106344
    100.0000   -1363.851778   -6651.690528    1543.240246   -0.688955591    1.840909347    7.312043773
    101.0000   -1402.260104   -6527.169769    1978.361320   -0.590855711    2.308296217    7.186810619
    102.0000   -1434.705383   -6374.892547    2405.046623   -0.490259626    2.765790963    7.030956157
    103.0000   -1461.050805   -6195.511586    2821.478720   -0.387601069    3.211429121    6.845164309
    104.0000   -1481.185849   -5989.795874    3225.885163   -0.283322180    3.643301331    6.630249904
    105.0000   -1495.026723   -5758.627088    3616.546215   -0.177871401    4.059561996    6.387154260
    106.0000   -1502.516676   -5502.995523    3991.802290   -0.071701374    4.458437485    6.116940143
    107.0000   -1503.626191   -5223.995537    4350.061076    0.034733167    4.838233827    5.820786172
    108.0000   -1498.353047   -4922.820558    4689.804306    0.140977458    5.197343856    5.499980720
    109.0000   -1486.722257   -4600.757669    5009.594147    0.246578746    5.534253799    5.155915376
    110.0000   -1468.785889   -4259.181826    5308.079187    0.351088265    5.847549265    4.790078049
    111.0000   -1444.622772   -3899.549725    5584.000000    0.454063162    6.135920653    4.404045757
    112.0000   -1414.338078   -3523.393372    5836.194267    0.555068347    6.398167966    3.999477179
    113.0000   -1378.062809   -3132.313376    6063.601450    0.653678272    6.633205042    3.578105008
    114.0000   -1335.953171   -2727.972003    6265.266997    0.749478631    6.840063227    3.141728175
    115.0000   -1288.189849   -2312.086035    6440.346079    0.842067976    7.017894495    2.692203975
    116.0000   -1234.977189   -1886.419446    6588.106857    0.931059254    7.165974051    2.231440138
    117.0000   -1176.542296   -1452.775950    6707.933267    1.016081254    7.283702437    1.761386872
    118.0000   -1113.134034   -1012.991424    6799.327330    1.096779988    7.370607169    1.284028909
    119.0000   -1045.021958    -568.926256    6861.910986    1.172819973    7.426343928    0.801377564
    120.0000    -972.495168    -122.457632    6895.427453    1.243885452    7.450697327    0.315462819
    121.0000    -895.861088     324.528218    6899.742108    1.309681533    7.443581280   -0.171674553
    122.0000    -815.444185     770.143774    6874.842902    1.369935259    7.405038973   -0.657990834
    123.0000    -731.584618    1212.507975    6820.840304    1.424396603    7.335242468   -1.141447168
    124.0000    -644.636839    1649.753929    6737.966773    1.472839402    7.234491925   -1.620017330
    125.0000    -554.968133    2080.036566    6626.575772    1.515062211    7.103214458   -2.091695470
    126.0000    -462.957111    2501.540214    6487.140314    1.550889098    6.941962602   -2.554503815
    127.0000    -368.992155    2912.486068    6320.251045    1.580170359    6.751412402   -3.006500337
    128.0000    -273.469830    3311.139532    6126.613876    1.602783164    6.532361094   -3.445786381
    129.0000    -176.793247    3695.817418    5907.047148    1.618632115    6.285724373   -3.870514236
    130.0000     -79.370407    4064.894954    5662.478350    1.627649731    6.012533217   -4.278894640
    131.0000      18.387486    4416.812598    5393.940393    1.629796833    5.713930269   -4.669204184
    132.0000     116.067737    4750.082621    5102.567435    1.625062834    5.391165741   -5.039792608
