% Vallado SGP4 Result (TEME Frame)
% Time(min)      Rx(km)        Ry(km)        Rz(km)        Vx(km/s)      Vy(km/s)      Vz(km/s)
     62.0000    1470.008310    4196.978971   -5374.875979   -0.375780997   -5.899928856   -4.701902069
     63.0000    1444.380250    3834.388855   -5645.437274   -0.478184950   -6.182129856   -4.313622097
     64.0000    1412.667006    3455.644364   -5892.149637   -0.578548996   -6.438218240   -3.907218215
     65.0000    1375.003600    3062.344619   -6113.976727   -0.676453813   -6.667134020   -3.484405583
     66.0000    1331.549893    2656.148935   -6309.987094   -0.771491012   -6.867931381   -3.046964168
     67.0000    1282.489883    2238.769877   -6479.357847   -0.863264679   -7.039781795   -2.596731366
     68.0000    1228.030915    1811.966135   -6621.377879   -0.951392863   -7.181976673   -2.135594546
     69.0000    1168.402793    1377.535266   -6735.450638   -1.035508981   -7.293929590   -1.665483554
     70.0000    1103.856827     937.306301   -6821.096453   -1.115263168   -7.375178091   -1.188363183
     71.0000    1034.664781     493.132264   -6877.954404   -1.190323550   -7.425385111   -0.706225626
     72.0000     961.117766      46.882613   -6905.783738   -1.260377461   -7.444340013   -0.221082913
     73.0000     883.525044    -399.564363   -6904.464835   -1.325132597   -7.431959262    0.265040665
     74.0000     802.212781    -844.329192   -6873.999710   -1.384318110   -7.388286752    0.750116147
     75.0000     717.522722   -1285.538854   -6814.512072   -1.437685642   -7.313493765    1.232117508
     76.0000     629.810814   -1721.334426   -6726.246911   -1.485010299   -7.207878591    1.709029298
     77.0000     539.445773   -2149.878674   -6609.569640   -1.526091575   -7.071865769    2.178854288
     78.0000     446.807590   -2569.363600   -6464.964766   -1.560754200   -6.906004962    2.639621161
     79.0000     352.285994   -2978.017906   -6293.034104   -1.588848931   -6.710969429    3.089392210
     80.0000     256.278871   -3374.114351   -6094.494534   -1.610253276   -6.487554090    3.526271058
     81.0000     159.190638   -3755.976982   -5870.175280   -1.624872134   -6.236673146    3.948410381
     82.0000      61.430579   -4121.988211   -5621.014744   -1.632638359   -5.959357237    4.354019605
     83.0000     -36.588842   -4470.595698   -5348.056863   -1.633513227   -5.656750110    4.741372564
     84.0000    -134.453701   -4800.319027   -5052.447025   -1.627486815   -5.330104782    5.108815080
     85.0000    -231.750348   -5109.756136   -4735.427515   -1.614578257   -4.980779166    5.454772423
     86.0000    -328.067160   -5397.589460   -4398.332540   -1.594835895   -4.610231151    5.777756602
     87.0000    -422.996287   -5662.591772   -4042.582802   -1.568337302   -4.220013129    6.076373449
     88.0000    -516.135413   -5903.631673   -3669.679667   -1.535189162   -3.811765960    6.349329415
     89.0000    -607.089487   -6119.678706   -3281.198933   -1.495527020   -3.387212387    6.595438047
     90.0000    -695.472445   -6309.808056   -2878.784219   -1.449514881   -2.948149910    6.813626055
     91.0000    -780.908909   -6473.204812   -2464.140005   -1.397344652   -2.496443143    7.002938925
     92.0000    -863.035829   -6609.167749   -2039.024351   -1.339235433   -2.034015696    7.162546011
     93.0000    -941.504098   -6717.112616   -1605.241326   -1.275432656   -1.562841606    7.291745042
     94.0000   -1015.980100   -6796.574893   -1164.633184   -1.206207059   -1.084936387    7.389965995
     95.0000   -1086.147192   -6847.212006    -719.072337   -1.131853523   -0.602347746    7.456774289
     96.0000   -1151.707117   -6868.804969    -270.453142   -1.052689752   -0.117146039    7.491873240
     97.0000   -1212.381328   -6861.259456     179.316423   -0.969054821    0.368585473    7.495105776
     98.0000   -1267.912225   -6824.606278     628.323167   -0.881307598    0.852760474    7.466455353
     99.0000   -1318.064292   -6759.001270    1074.657130   -0.789825052    1.333299483    7.406046090
    100.0000   -1362.625128   -6664.724588    1516.420003   -0.695000452    1.808139708    7.314142102
    101.0000   -1401.406373   -6542.179408    1951.733490   -0.597241488    2.275244762    7.191146048
    102.0000   -1434.244511   -6391.890062    2378.747558   -0.496968320    2.732614197    7.037596905
    103.0000   -1461.001560   -6214.499599    2795.648531   -0.394611565    3.178292754    6.854167013
    104.0000   -1481.565640   -6010.766802    3200.666986   -0.290610257    3.610379279    6.641658412
    105.0000   -1495.851410   -5781.562690    3592.085406   -0.185409780    4.027035245    6.400998519
    106.0000   -1503.800394   -5527.866507    3968.245564   -0.079459798    4.426492816    6.133235216
    107.0000   -1505.381173   -5250.761259    4327.555582    0.026787805    4.807062425    5.839531376
    108.0000   -1500.589454   -4951.428797    4668.496658    0.132880961    5.167139822    5.521158916
    109.0000   -1489.448027   -4631.144504    4989.629417    0.238369411    5.505212573    5.179492422
    110.0000   -1472.006591   -4291.271603    5289.599875    0.342806658    5.819865990    4.816002414
    111.0000   -1448.341477   -3933.255130    5567.144979    0.445751855    6.109788496    4.432248314
    112.0000   -1418.555250   -3558.615600    5821.097728    0.546771630    6.373776413    4.029871171
    113.0000   -1382.776209   -3168.942404    6050.391844    0.645441839    6.610738192    3.610586204
    114.0000   -1341.157783   -2765.886968    6254.065999    0.741349244    6.819698097    3.176175195
    115.0000   -1293.877829   -2351.155706    6431.267572    0.834093112    6.999799368    2.728478797
    116.0000   -1241.137832   -1926.502805    6581.255956    0.923286738    7.150306871    2.269388775
    117.0000   -1183.162025   -1493.722852    6703.405385    1.008558881    7.270609278    1.800840220
    118.0000   -1120.196415   -1054.643360    6797.207304    1.089555137    7.360220792    1.324803744
    119.0000   -1052.507738    -611.117188    6862.272261    1.165939224    7.418782436    0.843277693
    120.0000    -980.382332    -165.014910    6898.331348    1.237394199    7.446062944    0.358280367
    121.0000    -904.124944     281.782868    6905.237155    1.303623606    7.441959254   -0.128157733
    122.0000    -824.057466     727.393204    6882.964278    1.364352552    7.406496624   -0.614001641
    123.0000    -740.517613    1169.938516    6831.609351    1.419328721    7.339828387   -1.097219629
    124.0000    -653.857536    1607.554248    6751.390626    1.468323317    7.242235333   -1.575790906
    125.0000    -564.442389    2038.396490    6642.647083    1.511131945    7.114124730   -2.047713285
