% Time(min)      Rx(km)        Ry(km)        Rz(km)        Vx(km/s)      Vy(km/s)      Vz(km/s)
     62.0000    1468.553687    4181.891196   -5383.334760   -0.379757192   -5.912251915   -4.688526967
     63.0000    1442.686574    3818.583674   -5653.062261   -0.482173999   -6.193706691   -4.299210135
     64.0000    1410.734080    3439.168960   -5898.879758   -0.582531678   -6.448968896   -3.891808439
     65.0000    1372.832394    3045.250908   -6119.753437   -0.680410458   -6.676980777   -3.468043176
     66.0000    1329.142568    2638.493417   -6314.754741   -0.775401586   -6.876799189   -3.029700326
     67.0000    1279.849812    2220.613463   -6483.064027   -0.867108884   -7.047598696   -2.578623151
     68.0000    1225.162693    1793.373955   -6623.973783   -0.955150227   -7.188674215   -2.116704713
     69.0000    1165.312247    1358.576438   -6736.891389   -1.039158960   -7.299443228   -1.645880349
     70.0000    1100.551015     918.053690   -6821.341428   -1.118785240   -7.379447578   -1.168120119
     71.0000    1031.151992     473.662211   -6876.967543   -1.193697318   -7.428354874   -0.685421234
     72.0000     957.407503      27.274646   -6903.533837   -1.263582752   -7.445959520   -0.199800468
     73.0000     879.628015    -419.227848   -6900.925820   -1.328149565   -7.432183377    0.286713440
     74.0000     798.140869    -863.963258   -6869.150898   -1.387127335   -7.387076066    0.772087407
     75.0000     713.288962   -1305.056381   -6808.338403   -1.440268237   -7.310814925    1.254291631
     76.0000     625.429355   -1740.646481   -6718.739171   -1.487348015   -7.203704598    1.731307257
     77.0000     534.931836   -2168.894904   -6600.724644   -1.528166898   -7.066176268    2.201134049
     78.0000     442.177423   -2587.992635   -6454.785534   -1.562550460   -6.898786503    2.661798103
     79.0000     347.556819   -2996.167783   -6281.529999   -1.590350405   -6.702215713    3.111359577
     80.0000     251.468820   -3391.692949   -6081.681376   -1.611445288   -6.477266180    3.547920429
     81.0000     154.318690   -3772.892471   -5856.075433   -1.625741156   -6.224859657    3.969632166
     82.0000      56.516490   -4138.149506   -5605.657168   -1.633172107   -5.946034490    4.374703568
     83.0000     -41.524622   -4485.912930   -5331.477139   -1.633700763   -5.641942256    4.761408364
     84.0000    -139.390105   -4814.704012   -5034.687343   -1.627318629   -5.313843882    5.128092833
